name,location,nearest highway,dist to highway,prev point,next point,dist to prev point,dist to next point,elevation,gradient
jqmqry,"58.32387, 15.09221","58.32502, 15.089637",0.8,r1_p23,r1_p24,2.1 ,26.1 ,130.4601440429688,
jqne9e,"57.6969, 12.8238","57.69657, 12.81859",0.7,r1_p3,r1_p4,29.1 ,5.7 ,166.019775390625,
jqydqp,"58.43239, 15.589722","58.43864, 15.57402",1.9,r1_p24,r1_p25,5.4 ,34.1 ,39.34294509887695,
kez97,"59.426171, 15.829241","59.423927, 15.819223",0.9,r3_p43,r3_p44,37.5 ,17.0 ,15.07870674133301,
kje5j6,"58.40655, 15.57794","58.43864, 15.57402",4.8,r1_p24,r1_p25,5.4 ,34.1 ,69.82914733886719,
kjed5y,"58.764881, 16.989","58.763756, 16.990892",0.2,r1_p28,r1_p29,1.7 ,2.5 ,34.76990127563477,
kpj9jz,"58.079923, 13.02948","58.07698841885124,  13.015536986883252 ",1.1,r2_p5,r2_p6,1.0 ,2.0 ,108.9814758300781,
ky526,"59.616629, 16.556916","59.6206810, 16.552593",0.7,r3_p47,r3_p48,2.5 ,1.5 ,13.99330615997314,
kzeg7k,"57.723701, 12.025299","57.724189, 12.019701",0.5,r3_p1,r3_p2,3.8 ,5.0 ,15.22629928588867,
kzggxg,"58.418963, 13.878661","58.39489011798868, 13.873343444113067 ",4.1,r2_p17,r2_p18,0.092 ,1.7 ,131.0,
m6gge8,"59.18275, 17.63065","59.17711, 17.64356",1.8,r1_p31,r1_p32,2.5 ,18.4 ,21.27971076965332,
m6kdek,"59.25334, 17.85437","59.251855, 17.855770",0.9,r1_p31,r1_p32,18.7 ,0.7 ,29.55084800720215,
m6krn9,"59.885497, 17.667096","59.830110, 17.736933 ",8.9,r1_p44,r1_p45,36.1 ,2.5 ,24.51273345947266,
m6kz5e,"58.41787, 15.65675","58.432385, 15.663608 ",2.6,r1_p24,r1_p25,10.7 ,29.9 ,43.589111328125,
m6xzww,"58.32397, 15.093717","58.32502, 15.089637",0.9,r1_p23,r1_p24,2.1 ,26.1 ,125.7436599731445,
m7r6j,"58.427904, 15.591516","58.43864, 15.57402",2.0,r1_p24,r1_p25,5.4 ,34.1 ,41.14947509765625,
mm6r6,"59.270658, 15.174779","59.273954, 15.178668",1.9,r3_p42,r3_p43,4.8 ,5.1 ,31.19633102416992,
mz973d,"59.641385, 16.562155","59.624622, 16.543049",2.9,r3_p47,r3_p48,1.8 ,2.2 ,37.12477111816406,
mzzeg2,"59.844586, 17.728082","59.830110, 17.736933 ",2.3,r1_p44,r1_p45,36.1 ,2.5 ,18.71826934814453,
n37g7,"57.788882, 14.26531","57.78767, 14.25835",0.7,r1_p19,r1_p20,0.1 ,3.7 ,94.33633422851562,
n8gez8,"58.435446, 15.590899","58.43864, 15.57402",1.8,r1_p24,r1_p25,5.4 ,34.1 ,38.8096923828125,
n8pw2j,"58.001509, 14.450145","57.99282, 14.43830",1.7,r1_p20,r1_p21,23.7 ,4.7 ,166.8907928466797,
n8rjqn,"58.879801, 14.908318","58.878401356716424, 14.895584748716226 ",0.8,r2_p32,r2_p33,13.1 ,24.3 ,96.11355590820312,
nerng,"57.71593, 12.91746","57.71553, 12.9091",0.7,r1_p4,r1_p5,0.3 ,1.1 ,137.8801727294922,
newkx,"58.051985, 14.507464","58.04993, 14.50489",0.6,r1_p21,r1_p22,3.7 ,15.5 ,274.0090637207031,
nz7rmn,"59.380378, 18.009779","59.377129, 18.01460",2.7,r1_p38,r1_p39,0.030 ,9.4 ,13.30169010162354,
nzgwdz,"59.30119, 15.199138","59.29332, 15.198374",1.9,r3_p42,r3_p43,7.3 ,2.6 ,26.95156860351562,
nzxyz7,"57.762417, 14.151303","57.75814, 14.157796",1.2,r1_p17,r1_p18,5.2 ,1.6 ,92.88029479980467,
nzyp9g,"59.847472, 17.716489","59.84317, 17.71096",0.9,r1_p45,r1_p46,0.5 ,0.7 ,12.94124317169189,
pg3me2,"57.923611, 12.530556","57.924052, 12.530510",0.008,r3_p6,r3_p7,0.1 ,0.1 ,71.82681274414062,
