name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,Rutt_1,Rutt_2,Rutt_3,intersection
p123,6473137.0,434161.0,58.394081558210665,13.87371354095625,122.5124969482422,50.0,p124,p122,"9wqm9, kzggxg, 25jn8k",1.6 ,-0.0015748268914888564,,1.0,,
p124,6473399.0,435088.0,58.39657266657343,13.88949400030206,119.9927749633789,80.0,p125,p123,0,10.1 ,0.0015367079636004351,,1.0,,
p125,6474739.0,442690.0,58.40966714289479,14.019190417880198,135.5135192871094,90.0,p126,p124,0,3.6 ,-0.00382472652879229,,1.0,,
p126,6475383.0,446174.0,58.415892857134914,14.078655853025529,121.7445373535156,80.0,p127,p125,0,3.2 ,-0.00270334811464775,,1.0,,
p127,6475859.0,449108.0,58.420518666453205,14.128764964775185,113.0938339233398,70.0,p128,p126,0,2.6 ,-0.0004664917161379626,,1.0,,
p128,6477206.0,451164.0,58.4328099,14.163748485,110.9946212768555,80.0,p129,p127,0,10.9 ,0.0003513490180309289,,1.0,,
p129,6478361.0,452376.0,58.44335596240116,14.184184464049578,115.0,90.0,p130,p128,0,6.7 ,-0.0003596790804914753,,1.0,,
p130,6479555.0,456277.0,58.45448654091021,14.250775156915704,112.0146636962891,80.0,p131,p129,0,4.8 ,-0.0016938980573619799,,1.0,,
p131,6481544.0,460496.0,58.47275118991321,14.322721242400917,103.8839569091797,90.0,p132,p130,0,5.3 ,0.0010406020980883537,,1.0,,
p132,6483119.0,465008.0,58.4872810717956,14.399831191989865,109.3991470336914,70.0,p133,p131,0,1.6 ,-0.007460744453576773,,1.0,,
p133,6483489.0,466552.0,58.49072511136343,14.426257523473373,97.46206665039062,90.0,p134,p132,0,5.9 ,-0.0009267582037860041,,1.0,,
p134,6486640.0,471059.0,58.51934654231089,14.50316405445934,91.99419403076172,60.0,p135,p133,0,0.9 ,0.004852992139489195,,1.0,,
p135,6487399.0,471543.0,58.526194989634575,14.511377861826366,96.36186981201172,40.0,p136,p134,0,2.6 ,0.0021981799882266747,,1.0,,
p136,6489658.0,470910.0,58.54644115564465,14.500220788525509,102.0771331787109,60.0,p137,p135,0,2.9 ,-0.002724444372562741,,1.0,,
p137,6492463.0,470629.0,58.571613753195166,14.495030937127831,94.17625427246094,80.0,p138,p136,0,32.1 ,6.895570374246252e-05,,1.0,,
p138,6516290.0,489174.0,58.78646229881072,14.81272351567974,96.38973236083984,100.0,p139,p137,n8rjqn,37.3 ,-0.0005791627118508508,,1.0,,
p139,6546118.0,500723.0,59.0544755970216,15.012604265254971,74.7869644165039,70.0,p140,p138,re8mzr,1.5 ,-0.0066563805345872746,,1.0,,
p140,6547596.0,500349.0,59.06774933495683,15.006086564349848,64.8024673461914,110.0,p83,p139,,20.7 ,-0.0006078912123452983,,1.0,,
slutpunkt,6635775.0,646523.0,59.83363943735781,17.61424801843739,37.9410400390625,0,0,0,,null,0,,,,
